epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0924,3.2295,2.92175,3.10929,0.17178,0.31849,0.10088,0.03157,2.82415,3.08651,2.63136,0.000662069,0.000662069,0.000662069
2,38.0718,2.87316,2.31043,2.41642,0.27013,0.30511,0.17282,0.05473,2.7125,3.41112,2.37622,0.00130243,0.00130243,0.00130243
3,58.4266,2.74275,2.10933,2.18203,0.22088,0.31864,0.1433,0.04806,2.55528,2.94003,2.22481,0.00191638,0.00191638,0.00191638
4,75.8802,2.60964,1.94953,2.05583,0.45948,0.4174,0.3934,0.13622,2.37785,1.83483,2.07227,0.0018812,0.0018812,0.0018812
5,93.5833,2.54145,1.88409,1.98674,0.56372,0.4127,0.44275,0.15276,2.3693,1.87589,2.03451,0.0018416,0.0018416,0.0018416
6,112.344,2.46309,1.73606,1.90876,0.55631,0.46217,0.47676,0.17378,2.24773,1.66952,1.9572,0.001802,0.001802,0.001802
7,130.239,2.44149,1.69983,1.86373,0.59645,0.49963,0.52977,0.18742,2.21916,1.56773,1.93206,0.0017624,0.0017624,0.0017624
8,149.367,2.3986,1.65223,1.84096,0.60432,0.51029,0.53191,0.19024,2.21194,1.52962,1.90556,0.0017228,0.0017228,0.0017228
9,166.879,2.3664,1.60992,1.84731,0.63061,0.50323,0.54292,0.18043,2.29785,1.54109,1.95214,0.0016832,0.0016832,0.0016832
10,184.71,2.33704,1.57158,1.78751,0.62447,0.49761,0.51484,0.19101,2.24508,1.43856,1.91738,0.0016436,0.0016436,0.0016436
11,203.178,2.35599,1.58158,1.82115,0.62391,0.50206,0.54143,0.21373,2.10658,1.51236,1.85287,0.001604,0.001604,0.001604
12,220.772,2.31298,1.56736,1.78206,0.66759,0.54262,0.58841,0.22757,2.16674,1.41865,1.85847,0.0015644,0.0015644,0.0015644
13,239.496,2.29599,1.5108,1.76614,0.68996,0.55967,0.60874,0.23635,2.12081,1.39612,1.83775,0.0015248,0.0015248,0.0015248
14,257.263,2.28682,1.50577,1.75753,0.64435,0.54001,0.56453,0.22659,2.11534,1.38974,1.82404,0.0014852,0.0014852,0.0014852
15,276.055,2.24995,1.47406,1.7508,0.70184,0.52381,0.59055,0.21349,2.13122,1.4281,1.84134,0.0014456,0.0014456,0.0014456
16,293.835,2.25326,1.49757,1.73803,0.65575,0.54537,0.59361,0.24881,2.06238,1.33471,1.79664,0.001406,0.001406,0.001406
17,311.667,2.23822,1.43178,1.74258,0.66845,0.54909,0.60238,0.24673,2.09737,1.33209,1.80318,0.0013664,0.0013664,0.0013664
18,330.354,2.21268,1.39268,1.67898,0.68913,0.53433,0.59455,0.24896,2.05088,1.35605,1.76823,0.0013268,0.0013268,0.0013268
19,347.968,2.2062,1.39436,1.69869,0.68656,0.51734,0.57179,0.23533,2.16441,1.31697,1.8359,0.0012872,0.0012872,0.0012872
20,366.736,2.18304,1.3625,1.6547,0.67322,0.54259,0.58202,0.24674,2.06052,1.36024,1.78473,0.0012476,0.0012476,0.0012476
21,384.487,2.19162,1.37605,1.6683,0.72237,0.5779,0.6507,0.2681,2.04915,1.29579,1.75804,0.001208,0.001208,0.001208
22,401.816,2.18076,1.35506,1.67996,0.75126,0.58241,0.65819,0.272,2.0424,1.25157,1.75331,0.0011684,0.0011684,0.0011684
23,420.492,2.17832,1.33307,1.66242,0.72818,0.57907,0.65011,0.28054,1.98864,1.27548,1.7223,0.0011288,0.0011288,0.0011288
24,438.069,2.17558,1.33064,1.66449,0.71292,0.55144,0.62915,0.25466,2.09315,1.27394,1.7881,0.0010892,0.0010892,0.0010892
25,456.602,2.14975,1.33543,1.65559,0.70441,0.57907,0.63979,0.27693,2.01757,1.25704,1.72807,0.0010496,0.0010496,0.0010496
26,474.135,2.12967,1.27597,1.63249,0.70884,0.56534,0.61765,0.26724,2.04351,1.2616,1.75446,0.00101,0.00101,0.00101
27,492.572,2.1576,1.2851,1.64069,0.73319,0.56202,0.65456,0.28025,1.99387,1.24893,1.72628,0.0009704,0.0009704,0.0009704
28,511.206,2.14106,1.30587,1.63445,0.70602,0.57848,0.63056,0.27317,1.99817,1.23382,1.72482,0.0009308,0.0009308,0.0009308
29,528.879,2.11185,1.26052,1.64317,0.72723,0.5632,0.63327,0.27462,2.00985,1.24109,1.7286,0.0008912,0.0008912,0.0008912
30,547.562,2.09531,1.26702,1.61265,0.69717,0.59821,0.64799,0.27583,2.0468,1.21234,1.74986,0.0008516,0.0008516,0.0008516
31,565.115,2.12843,1.26577,1.61677,0.71106,0.60331,0.66782,0.2867,1.99129,1.19876,1.726,0.000812,0.000812,0.000812
32,583.673,2.10344,1.25119,1.59584,0.70107,0.58183,0.64855,0.2918,1.96155,1.21612,1.70063,0.0007724,0.0007724,0.0007724
33,601.546,2.09842,1.24399,1.63958,0.75793,0.60847,0.68344,0.29235,1.99334,1.18837,1.71369,0.0007328,0.0007328,0.0007328
34,619.113,2.08629,1.25054,1.60175,0.70192,0.58436,0.65478,0.28318,1.98408,1.21676,1.70953,0.0006932,0.0006932,0.0006932
35,637.882,2.09306,1.22434,1.60777,0.75411,0.58025,0.67246,0.29735,1.97732,1.18672,1.69661,0.0006536,0.0006536,0.0006536
36,655.467,2.0709,1.21049,1.60423,0.74463,0.59482,0.66866,0.29094,1.97261,1.1958,1.70661,0.000614,0.000614,0.000614
37,674.076,2.07967,1.24051,1.57473,0.74226,0.56549,0.64533,0.28197,1.98607,1.20017,1.70506,0.0005744,0.0005744,0.0005744
38,691.535,2.0623,1.20418,1.58925,0.71609,0.55456,0.62444,0.26974,2.05792,1.21489,1.74752,0.0005348,0.0005348,0.0005348
39,709.213,2.0477,1.2095,1.59141,0.72727,0.60788,0.66941,0.29532,1.983,1.17843,1.69501,0.0004952,0.0004952,0.0004952
40,728.14,2.0636,1.18702,1.57944,0.72337,0.59032,0.6502,0.28829,1.98315,1.18507,1.69752,0.0004556,0.0004556,0.0004556
41,746.191,2.02701,1.17771,1.61583,0.74592,0.59788,0.67163,0.2987,1.97637,1.1742,1.68973,0.000416,0.000416,0.000416
42,764.749,1.99393,1.19685,1.61107,0.71639,0.61493,0.68285,0.30682,1.93581,1.16689,1.67521,0.0003764,0.0003764,0.0003764
43,782.189,1.99233,1.1829,1.63074,0.71885,0.60259,0.67867,0.30375,1.93865,1.16802,1.67568,0.0003368,0.0003368,0.0003368
44,799.993,1.97767,1.15874,1.58456,0.73622,0.59671,0.66991,0.30073,1.94641,1.17865,1.67741,0.0002972,0.0002972,0.0002972
45,817.902,2.00533,1.1471,1.62237,0.74421,0.62088,0.68657,0.30638,1.93996,1.15782,1.66887,0.0002576,0.0002576,0.0002576
46,835.207,1.99092,1.15118,1.62752,0.76024,0.61552,0.6923,0.30588,1.94191,1.14179,1.67149,0.000218,0.000218,0.000218
47,853.414,1.9642,1.1303,1.58736,0.73499,0.61787,0.68261,0.30804,1.93611,1.1495,1.66727,0.0001784,0.0001784,0.0001784
48,870.715,1.95385,1.12227,1.58096,0.74333,0.62493,0.70746,0.31841,1.92925,1.12793,1.65874,0.0001388,0.0001388,0.0001388
49,888.007,1.95928,1.12285,1.59801,0.73361,0.61196,0.67952,0.30848,1.93829,1.14999,1.66777,9.92e-05,9.92e-05,9.92e-05
50,906.497,1.92952,1.10741,1.58707,0.74806,0.61268,0.69441,0.31529,1.92247,1.13931,1.6566,5.96e-05,5.96e-05,5.96e-05
